method,data_fraction,seed,emotion,f1,precision,recall
distilbert,0.01,42,disappointment,0.0,0.0,0.0
distilbert,0.01,42,disapproval,0.0,0.0,0.0
distilbert,0.01,42,disgust,0.0,0.0,0.0
distilbert,0.01,42,embarrassment,0.0,0.0,0.0
distilbert,0.01,42,excitement,0.0,0.0,0.0
distilbert,0.01,42,fear,0.0,0.0,0.0
distilbert,0.01,42,gratitude,0.0,0.0,0.0
distilbert,0.01,42,grief,0.0,0.0,0.0
distilbert,0.01,42,joy,0.0,0.0,0.0
distilbert,0.01,42,love,0.0,0.0,0.0
distilbert,0.01,42,nervousness,0.0,0.0,0.0
distilbert,0.01,42,neutral,0.0,0.0,0.0
distilbert,0.01,42,optimism,0.0,0.0,0.0
distilbert,0.01,42,pride,0.0,0.0,0.0
distilbert,0.01,42,realization,0.0,0.0,0.0
distilbert,0.01,42,relief,0.0,0.0,0.0
distilbert,0.01,42,remorse,0.0,0.0,0.0
distilbert,0.01,42,sadness,0.0,0.0,0.0
distilbert,0.01,42,surprise,0.0,0.0,0.0
distilbert,0.05,42,admiration,0.0,0.0,0.0
distilbert,0.05,42,amusement,0.0,0.0,0.0
distilbert,0.05,42,anger,0.0,0.0,0.0
distilbert,0.05,42,annoyance,0.0,0.0,0.0
distilbert,0.05,42,approval,0.0,0.0,0.0
distilbert,0.05,42,caring,0.0,0.0,0.0
distilbert,0.05,42,confusion,0.0,0.0,0.0
distilbert,0.05,42,curiosity,0.0,0.0,0.0
distilbert,0.05,42,desire,0.0,0.0,0.0
distilbert,0.05,42,disappointment,0.0,0.0,0.0
distilbert,0.05,42,disapproval,0.0,0.0,0.0
distilbert,0.05,42,disgust,0.0,0.0,0.0
distilbert,0.05,42,embarrassment,0.0,0.0,0.0
distilbert,0.05,42,excitement,0.0,0.0,0.0
distilbert,0.05,42,fear,0.0,0.0,0.0
distilbert,0.05,42,gratitude,0.0,0.0,0.0
distilbert,0.05,42,grief,0.0,0.0,0.0
distilbert,0.05,42,joy,0.0,0.0,0.0
distilbert,0.05,42,love,0.0,0.0,0.0
distilbert,0.05,42,nervousness,0.0,0.0,0.0
distilbert,0.05,42,neutral,0.0,0.0,0.0
distilbert,0.05,42,optimism,0.0,0.0,0.0
distilbert,0.05,42,pride,0.0,0.0,0.0
distilbert,0.05,42,realization,0.0,0.0,0.0
distilbert,0.05,42,relief,0.0,0.0,0.0
distilbert,0.05,42,remorse,0.0,0.0,0.0
distilbert,0.05,42,sadness,0.0,0.0,0.0
distilbert,0.05,42,surprise,0.0,0.0,0.0
distilbert,0.1,42,admiration,0.0,0.0,0.0
distilbert,0.1,42,amusement,0.0,0.0,0.0
distilbert,0.1,42,anger,0.0,0.0,0.0
distilbert,0.1,42,annoyance,0.0,0.0,0.0
distilbert,0.1,42,approval,0.0,0.0,0.0
distilbert,0.1,42,caring,0.0,0.0,0.0
distilbert,0.1,42,confusion,0.0,0.0,0.0
distilbert,0.1,42,curiosity,0.0,0.0,0.0
distilbert,0.1,42,desire,0.0,0.0,0.0
distilbert,0.1,42,disappointment,0.0,0.0,0.0
distilbert,0.1,42,disapproval,0.0,0.0,0.0
distilbert,0.1,42,disgust,0.0,0.0,0.0
distilbert,0.1,42,embarrassment,0.0,0.0,0.0
distilbert,0.1,42,excitement,0.0,0.0,0.0
distilbert,0.1,42,fear,0.0,0.0,0.0
distilbert,0.1,42,gratitude,0.0,0.0,0.0
distilbert,0.1,42,grief,0.0,0.0,0.0
distilbert,0.1,42,joy,0.0,0.0,0.0
distilbert,0.1,42,love,0.0,0.0,0.0
distilbert,0.1,42,nervousness,0.0,0.0,0.0
